country_code,TZ_database_name,UTC_offset_STD,time_zone_STD
EE,Europe/Tallinn,+02:00,EET
AL,Europe/Tirane,+01:00,CET
MD,Europe/Tiraspol,+02:00,EET
RU,Europe/Ulyanovsk,+04:00,4
UA,Europe/Uzhgorod,+02:00,EET
LI,Europe/Vaduz,+01:00,CET
VA,Europe/Vatican,+01:00,CET
AT,Europe/Vienna,+01:00,CET
LT,Europe/Vilnius,+02:00,EET
RU,Europe/Volgograd,+03:00,3
PL,Europe/Warsaw,+01:00,CET
HR,Europe/Zagreb,+01:00,CET
UA,Europe/Zaporozhye,+02:00,EET
"CH,?DE,?LI",Europe/Zurich,+01:00,CET
GB,GB,+00:00,GMT
GB,GB-Eire,+00:00,GMT
HK,Hongkong,+08:00,HKT
IS,Iceland,+00:00,GMT
MG,Indian/Antananarivo,+03:00,EAT
IO,Indian/Chagos,+06:00,6
CX,Indian/Christmas,+07:00,7
CC,Indian/Cocos,+06:30,630
KM,Indian/Comoro,+03:00,EAT
TF,Indian/Kerguelen,+05:00,5
SC,Indian/Mahe,+04:00,4
"MV,?TF",Indian/Maldives,+05:00,5
MU,Indian/Mauritius,+04:00,4
YT,Indian/Mayotte,+03:00,EAT
RE,Indian/Reunion,+04:00,4
IR,Iran,+03:30,330
IL,Israel,+02:00,IST
JM,Jamaica,?05:00,EST
JP,Japan,+09:00,JST
MH,Kwajalein,+12:00,12
LY,Libya,+02:00,EET
MX,Mexico/BajaNorte,?08:00,PST
MX,Mexico/BajaSur,?07:00,MST
MX,Mexico/General,?06:00,CST
US,Navajo,?07:00,MST
NZ,NZ,+12:00,NZST
NZ,NZ-CHAT,+12:45,1245
WS,Pacific/Apia,+13:00,13
"NZ,?AQ",Pacific/Auckland,+12:00,NZST
PG,Pacific/Bougainville,+11:00,11
NZ,Pacific/Chatham,+12:45,1245
FM,Pacific/Chuuk,+10:00,10
CL,Pacific/Easter,?06:00,-6
VU,Pacific/Efate,+11:00,11
KI,Pacific/Enderbury,+13:00,13
TK,Pacific/Fakaofo,+13:00,13
FJ,Pacific/Fiji,+12:00,12
TV,Pacific/Funafuti,+12:00,12
EC,Pacific/Galapagos,?06:00,-6
PF,Pacific/Gambier,?09:00,-9
"SB,?FM",Pacific/Guadalcanal,+11:00,11
"GU,?MP",Pacific/Guam,+10:00,ChST
"US,?UM",Pacific/Honolulu,?10:00,HST
UM,Pacific/Johnston,?10:00,HST
KI,Pacific/Kanton,+13:00,13
KI,Pacific/Kiritimati,+14:00,14
FM,Pacific/Kosrae,+11:00,11
MH,Pacific/Kwajalein,+12:00,12
MH,Pacific/Majuro,+12:00,12
PF,Pacific/Marquesas,?09:30,-930
UM,Pacific/Midway,?11:00,SST
NR,Pacific/Nauru,+12:00,12
NU,Pacific/Niue,?11:00,-11
NF,Pacific/Norfolk,+11:00,11
NC,Pacific/Noumea,+11:00,11
"AS,?UM",Pacific/Pago_Pago,?11:00,SST
PW,Pacific/Palau,+09:00,9
PN,Pacific/Pitcairn,?08:00,-8
FM,Pacific/Pohnpei,+11:00,11
FM,Pacific/Ponape,+11:00,11
"PG,?AQ,?FM",Pacific/Port_Moresby,+10:00,10
CK,Pacific/Rarotonga,?10:00,-10
MP,Pacific/Saipan,+10:00,ChST
AS,Pacific/Samoa,?11:00,SST
PF,Pacific/Tahiti,?10:00,-10
"KI,?MH,?TV,?UM,?WF",Pacific/Tarawa,+12:00,12
TO,Pacific/Tongatapu,+13:00,13
FM,Pacific/Truk,+10:00,10
UM,Pacific/Wake,+12:00,12
WF,Pacific/Wallis,+12:00,12
FM,Pacific/Yap,+10:00,10
PL,Poland,+01:00,CET
PT,Portugal,+00:00,WET
CN,PRC,+08:00,CST
TW,ROC,+08:00,CST
KR,ROK,+09:00,KST
SG,Singapore,+08:00,8
TR,Turkey,+03:00,3
US,US/Alaska,?09:00,AKST
US,US/Aleutian,?10:00,HST
US,US/Arizona,?07:00,MST
US,US/Central,?06:00,CST
US,US/East-Indiana,?05:00,EST
US,US/Eastern,?05:00,EST
US,US/Hawaii,?10:00,HST
US,US/Indiana-Starke,?06:00,CST
US,US/Michigan,?05:00,EST
US,US/Mountain,?07:00,MST
US,US/Pacific,?08:00,PST
AS,US/Samoa,?11:00,SST
RU,W-SU,+03:00,MSK
